doc_id,replydate,replies,char_count_median,response_median,response_rating,response_likes
153932,2015-06-30,2,151,126,2,12
52953,2015-10-09,18,505,327,4,11
123102,2015-09-09,2,1033,25,5,11
140576,2015-09-03,2,152,126,"",10
3682,2015-09-16,1,395,91,3,9
95694,2015-07-30,3,335,22,4,9
52953,2015-08-27,2,503,78,4,9
37438,2015-09-03,13,381,95,2,9
95553,2015-09-22,1,217,1023,"",9
123102,2015-09-21,3,964,104,"",9
138793,2015-10-15,5,183,73,"",9
153932,2016-03-14,2,212,0,"",9
52953,2015-09-13,11,291,699,5,8
37438,2015-07-14,1,560,117,"",8
37438,2015-09-08,3,298,225,4,8
175959,2015-09-22,1,145,663,1,8
138525,2016-01-28,4,45,77,5,8
131142,2016-01-15,3,517,60,4,8
175959,2015-10-30,2,212,201,5,8
9830,2015-07-10,3,398,192,4,7
219,2015-07-29,6,138,2100,5,7
14047,2016-01-04,2,314,5,5,7
1254,2016-02-03,1,284,89,5,7
20266,2015-09-25,3,165,55,"",7
9830,2015-07-11,1,513,559,3,7
286563,2016-01-11,3,183,8,4,7
37438,2015-10-24,5,260,429,"",7
391436,2016-02-07,13,329,252,5,7
52953,2015-09-26,10,714,331,4,7
37438,2015-07-10,1,379,316,5,7
138793,2016-02-23,1,111,72,5,7
46169,2015-11-13,6,323,1070,3,7
230794,2016-02-26,2,666,78,4,7
153932,2015-12-11,2,230,0,4,7
240563,2016-02-25,1,137,114,3,7
524972,2016-03-08,8,364,106,4,7
219,2015-07-09,1,149,229,5,7
19428,2015-08-27,9,335,51,4,7
114050,2015-08-20,3,357,24,"",7
123102,2015-09-03,3,1029,164,2,7
153932,2015-07-02,7,213,471,4,7
246645,2015-10-04,27,367,333,3,7
276026,2015-12-01,3,1447,88,5,7
189517,2016-04-27,2,179,197,5,6
26403,2015-11-24,3,297,6,1,6
294084,2016-01-09,3,153,126,"",6
37438,2015-11-24,4,199,301,5,6
385220,2016-01-26,1,115,32,"",6
138793,2016-02-16,2,276,103,"",6
441409,2016-02-19,1,823,33,"",6
140605,2015-09-24,16,245,226,5,6
33062,2016-01-03,1,611,120,"",6
153932,2015-07-01,8,248,12,3,6
55377,2015-09-05,10,414,24,1,6
230794,2016-01-11,1,871,102,"",6
180401,2016-01-20,12,467,31,1,6
46169,2015-08-05,1,539,378,5,6
180401,2016-01-24,1,332,173,"",6
48597,2015-10-08,18,246,303,3,6
180401,2016-01-28,5,369,9,5,6
52953,2015-09-15,8,642,312,4,6
189727,2015-09-09,3,237,121,4,6
52953,2015-09-30,12,769,79,3,6
222907,2015-09-21,3,241,28,2,6
95939,2016-01-25,2,339,33,3,6
226680,2015-10-09,1,140,94,"",6
107567,2015-10-08,6,267,24,4,6
230794,2015-10-04,4,187,66,3,6
138793,2015-10-21,2,209,105,3,6
140605,2015-08-27,2,326,79,"",6
27024,2015-10-12,2,528,234,5,5
17749,2015-11-26,4,238,22,"",5
30449,2015-11-03,1,572,17,3,5
17749,2015-12-11,5,248,18,4,5
52953,2015-09-19,11,640,702,3,5
37438,2015-09-16,3,231,35,"",5
131142,2016-02-14,2,559,16,"",5
45537,2015-08-25,4,667,153,3,5
144416,2015-10-30,8,258,61,3,5
95694,2015-07-22,1,210,126,"",5
144493,2016-01-21,1,365,"","",5
138793,2015-10-14,7,264,513,4,5
153932,2015-07-10,7,209,2435,2,5
138793,2015-11-04,4,137,224,3,5
190139,2015-09-11,12,134,1703,4,5
157793,2016-01-22,4,217,491,3,5
206069,2015-11-17,2,20,13,"",5
206263,2015-09-04,3,495,41,"",5
210156,2016-02-16,2,225,23,3,5
318405,2016-02-17,1,381,17,"",5
280792,2015-12-19,12,55,47,"",5
37438,2015-07-13,1,403,124,4,5
19135,2015-08-15,4,190,22,3,5
37438,2015-11-22,2,205,605,5,5
37438,2015-08-20,12,311,1244,2,5
44575,2016-02-13,1,578,"","",5
37438,2015-08-24,6,323,1298,"",5
86423,2016-01-31,2,178,26,3,5
37438,2015-12-16,14,235,306,1,5
86423,2016-04-27,2,143,10,2,5
52953,2015-10-27,2,628,80,"",5
138793,2016-02-19,1,463,36,"",5
94938,2016-01-04,1,250,378,"",5
140164,2016-02-23,3,254,72,4,5
96547,2016-01-25,8,255,19,3,5
153932,2015-07-07,3,128,72,4,5
131142,2016-02-22,2,274,48,5,5
174525,2015-10-20,1,625,219,4,5
153932,2016-02-01,3,235,17,4,5
189727,2015-09-21,4,362,5,"",5
155422,2015-09-16,2,189,22,"",5
190139,2015-10-03,10,271,70,4,5
160730,2015-08-06,9,248,7,5,5
218783,2016-03-10,1,620,"","",5
174525,2016-03-04,4,309,0,5,5
230794,2016-02-01,1,884,73,5,5
276026,2015-12-02,1,1959,310,"",5
294084,2015-12-24,5,69,3,"",5
276026,2015-12-08,2,864,63,3,5
391436,2016-02-11,7,381,13,5,5
280792,2015-12-23,6,90,171,4,5
286563,2016-01-29,2,108,2,4,5
381377,2016-02-16,1,457,42,"",5
399135,2016-02-28,3,1327,183,"",5
493,2015-09-14,1,1038,23,"",4
3454,2016-02-24,1,395,62,"",4
5876,2016-03-12,1,712,13,3,4
9830,2015-08-09,6,205,184,3,4
9830,2016-01-27,6,129,149,4,4
9830,2015-08-14,4,164,96,3,4
19135,2015-08-08,3,151,39,4,4
10600,2015-11-30,1,327,41,"",4
20266,2015-10-04,1,146,-1,2,4
17749,2015-11-19,5,88,25,4,4
21133,2016-03-03,5,151,297,"",4
21795,2015-08-09,1,326,5,"",4
21795,2015-08-08,13,948,6,"",4
23264,2016-04-11,1,254,56,5,4
23264,2015-11-16,1,951,22,4,4
26403,2015-12-07,4,169,22,3,4
33062,2016-01-17,3,194,13,"",4
27024,2015-09-04,7,395,311,4,4
34697,2015-11-13,1,181,233,"",4
27048,2016-02-09,9,570,49,5,4
37438,2015-07-27,17,282,282,4,4
27048,2016-02-25,6,685,93,3,4
37438,2015-11-29,2,188,63,3,4
27048,2016-03-12,5,891,26,5,4
44575,2016-01-27,1,685,252,4,4
37438,2015-10-20,4,203,337,4,4
47188,2016-04-10,1,306,281,2,4
37438,2015-12-22,2,75,36,4,4
52953,2015-09-24,6,506,123,4,4
52953,2015-10-03,6,509,138,5,4
52953,2015-11-21,7,379,74,4,4
52953,2015-10-29,10,392,654,3,4
52957,2016-01-09,1,195,109,"",4
59923,2015-11-02,1,265,372,"",4
81838,2016-01-28,5,138,336,5,4
62938,2015-10-03,2,150,288,"",4
90661,2015-09-27,1,329,181,"",4
82051,2016-01-25,3,184,48,4,4
95694,2015-07-28,1,349,97,3,4
95694,2015-08-17,11,241,364,3,4
95939,2016-01-23,2,384,10,4,4
95694,2015-12-10,4,199,76,"",4
96483,2016-02-25,4,61,8,3,4
123102,2015-10-22,1,981,317,"",4
118893,2016-02-15,1,86,2,4,4
131142,2015-12-27,1,666,43,"",4
123102,2015-11-15,1,1008,142,5,4
151889,2015-12-04,2,242,3,"",4
138793,2016-03-08,2,337,30,"",4
151889,2015-12-30,2,219,26,"",4
