doc_id,replydate,likes
39477,2016-04-28,1
602835,2016-04-28,1
675984,2016-04-28,1
87441,2016-04-28,1
172218,2016-04-28,5
180397,2016-04-28,1
615080,2016-04-28,2
87701,2016-04-28,1
161757,2016-04-28,2
44096,2016-04-28,1
518066,2016-04-28,1
134982,2016-04-28,1
122904,2016-04-28,3
375491,2016-04-28,3
467133,2016-04-28,1
638362,2016-04-28,1
31530,2016-04-28,1
23788,2016-04-28,1
18892,2016-04-28,1
453043,2016-04-28,2
152614,2016-04-28,1
116172,2016-04-28,1
171664,2016-04-28,1
433156,2016-04-28,1
143110,2016-04-28,1
473224,2016-04-28,1
174970,2016-04-28,1
19135,2016-04-28,19
140674,2016-04-28,1
280792,2016-04-28,1
399135,2016-04-28,1
27811,2016-04-28,2
118218,2016-04-28,2
82051,2016-04-28,1
95179,2016-04-28,1
173538,2016-04-28,1
613753,2016-04-28,1
348004,2016-04-28,1
155538,2016-04-28,1
109193,2016-04-28,1
437460,2016-04-28,1
140164,2016-04-28,1
375491,2016-04-27,9
399135,2016-04-27,1
443438,2016-04-27,1
27811,2016-04-27,6
14142,2016-04-27,1
381869,2016-04-27,1
39477,2016-04-27,10
112870,2016-04-27,1
47453,2016-04-27,2
130160,2016-04-27,2
189517,2016-04-27,2
87441,2016-04-27,1
23788,2016-04-27,1
280792,2016-04-27,2
148391,2016-04-27,5
632436,2016-04-27,2
31530,2016-04-27,1
169535,2016-04-27,1
340368,2016-04-27,1
86423,2016-04-27,2
131069,2016-04-27,3
613753,2016-04-27,1
207565,2016-04-27,1
609820,2016-04-27,1
288481,2016-04-27,4
23025,2016-04-27,1
217681,2016-04-27,2
30992,2016-04-27,1
150060,2016-04-27,1
171664,2016-04-27,4
160315,2016-04-27,9
609161,2016-04-27,5
342149,2016-04-27,1
172218,2016-04-27,6
99639,2016-04-27,2
96547,2016-04-27,1
645224,2016-04-27,1
611741,2016-04-27,1
161561,2016-04-27,1
589390,2016-04-27,1
581745,2016-04-27,1
161757,2016-04-27,1
36514,2016-04-27,1
125150,2016-04-27,1
602835,2016-04-27,1
473224,2016-04-27,1
174970,2016-04-27,7
347002,2016-04-27,1
18892,2016-04-27,1
97383,2016-04-27,3
518066,2016-04-27,3
286463,2016-04-27,1
